Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name	Source of gene name
1	62597487	62606159	ANGPTL3	HGNC Symbol
1	146017468	146036746	HJV	HGNC Symbol
1	146017468	146036746	HJV	HGNC Symbol
1	146017468	146036746	HJV	HGNC Symbol
1	146017468	146036746	HJV	HGNC Symbol
1	146017468	146036746	HJV	HGNC Symbol
1	215622891	216423448	USH2A	HGNC Symbol
1	215622891	216423448	USH2A	HGNC Symbol
1	17406760	17439677	RCC2	HGNC Symbol
1	17406760	17439677	RCC2	HGNC Symbol
1	180632004	180890251	XPR1	HGNC Symbol
1	180632004	180890251	XPR1	HGNC Symbol
1	151982915	151993859	S100A10	HGNC Symbol
1	151982915	151993859	S100A10	HGNC Symbol
1	180972712	181023121	STX6	HGNC Symbol
1	180972712	181023121	STX6	HGNC Symbol
1	180912897	180951614	KIAA1614	HGNC Symbol
1	152032506	152047907	S100A11	HGNC Symbol
1	109494052	109502932	CYB561D1	HGNC Symbol
1	109494052	109502932	CYB561D1	HGNC Symbol
1	109494052	109502932	CYB561D1	HGNC Symbol
1	109494052	109502932	CYB561D1	HGNC Symbol
1	109494052	109502932	CYB561D1	HGNC Symbol
1	167220876	167427345	POU2F1	HGNC Symbol
1	167220876	167427345	POU2F1	HGNC Symbol
1	167220876	167427345	POU2F1	HGNC Symbol
1	216503246	217137755	ESRRG	HGNC Symbol
1	216503246	217137755	ESRRG	HGNC Symbol
1	216503246	217137755	ESRRG	HGNC Symbol
1	216503246	217137755	ESRRG	HGNC Symbol
1	216503246	217137755	ESRRG	HGNC Symbol
1	216503246	217137755	ESRRG	HGNC Symbol
1	216503246	217137755	ESRRG	HGNC Symbol
1	216503246	217137755	ESRRG	HGNC Symbol
1	216503246	217137755	ESRRG	HGNC Symbol
1	216503246	217137755	ESRRG	HGNC Symbol
1	216503246	217137755	ESRRG	HGNC Symbol
1	216503246	217137755	ESRRG	HGNC Symbol
1	216503246	217137755	ESRRG	HGNC Symbol
1	216503246	217137755	ESRRG	HGNC Symbol
1	109504178	109509738	AMIGO1	HGNC Symbol
1	109504178	109509738	AMIGO1	HGNC Symbol
1	181033425	181061938	MR1	HGNC Symbol
1	181033425	181061938	MR1	HGNC Symbol
1	181033425	181061938	MR1	HGNC Symbol
1	181033425	181061938	MR1	HGNC Symbol
1	181033425	181061938	MR1	HGNC Symbol
1	181033425	181061938	MR1	HGNC Symbol
1	109539872	109548406	GPR61	HGNC Symbol
1	109539872	109548406	GPR61	HGNC Symbol
1	109539872	109548406	GPR61	HGNC Symbol
1	109539872	109548406	GPR61	HGNC Symbol
1	109539872	109548406	GPR61	HGNC Symbol
1	209756032	209782320	TRAF3IP3	HGNC Symbol
